IP,PORT,PROTOCOL,ANONYMITY,REGION,OPERATOR,DELAY,SPEED,RUN_STATE,LAST_CHECK
121.43.154.123,20000,HTTP,匿名的,"中国
                    杭州",杭州阿里巴巴广告有限公司,2515 多发性硬化症,6932 每秒,98%,26 分钟
47.119.22.92,80,HTTP,匿名的,"中国
                    深圳",地址 CNNIC,2495 多发性硬化症,3326 每秒,49%,29 分钟
121.43.154.123,6379,HTTP,匿名的,"中国
                    杭州",杭州阿里巴巴广告有限公司,2531 多发性硬化症,7266 每秒,92%,28 分钟
39.102.209.163,8443,HTTP,匿名的,"中国
                    北京",杭州阿里巴巴广告有限公司,2501 多发性硬化症,6390 每秒,2%,23 分钟
47.92.82.167,3128,HTTP,匿名的,"中国
                    北京",杭州阿里巴巴广告有限公司,2554 多发性硬化症,7798 每秒,92%,32 分钟
47.109.110.100,8081,HTTP,匿名的,"中国
                    成都",杭州阿里巴巴广告有限公司,2508 多发性硬化症,2534 每秒,27%,31 分钟
8.134.149.133,80,HTTP,匿名的,"中国
                    广州",杭州阿里巴巴广告有限公司,2499 多发性硬化症,1607 每秒,100%,43 分钟
113.108.105.30,9091,HTTP,精英,"中国
                    深圳",中国互联网,2262 多发性硬化症,4703 每秒,100%,13 分钟
47.99.112.148,80,HTTP,匿名的,"中国
                    杭州",阿里云计算有限公司,2491 多发性硬化症,2373 每秒,100%,56 分钟
47.109.83.196,8008,HTTP,匿名的,"中国
                    成都",杭州阿里巴巴广告有限公司,2561 多发性硬化症,9824 每秒,51%,21 分钟
39.102.208.236,3128,HTTP,匿名的,"中国
                    北京",杭州阿里巴巴广告有限公司,2600 多发性硬化症,3077 每秒,62%,49 分钟
39.102.213.187,8000,HTTP,匿名的,"中国
                    北京",杭州阿里巴巴广告有限公司,2600 多发性硬化症,5462 每秒,64%,46 分钟
47.108.159.113,80,HTTP,匿名的,"中国
                    成都",杭州阿里巴巴广告有限公司,2560 多发性硬化症,7359 每秒,88%,57 分钟
39.104.23.154,8080,HTTP,匿名的,"中国
                    北京",杭州阿里巴巴广告有限公司,2524 多发性硬化症,8784 每秒,52%,20 分钟
114.231.75.88,1080,HTTP,匿名的,"中国
                    南京",中国互联网,2241 多发性硬化症,8060 每秒,100%,52 分钟
39.102.213.187,8081,HTTP,匿名的,"中国
                    北京",杭州阿里巴巴广告有限公司,2492 多发性硬化症,9620 每秒,98%,36 分钟
8.138.149.37,8889,HTTP,匿名的,"中国
                    广州",杭州阿里巴巴广告有限公司,2509 多发性硬化症,8459 每秒,100%,49 分钟
47.116.181.146,9080,HTTP,匿名的,"中国
                    上海",杭州阿里巴巴广告有限公司,2531 多发性硬化症,2366 每秒,24%,33 分钟
47.116.126.57,10000,HTTP,匿名的,"中国
                    上海",杭州阿里巴巴广告有限公司,2544 多发性硬化症,2665 每秒,99%,19 分钟
39.102.213.213,3128,HTTP,匿名的,"中国
                    北京",杭州阿里巴巴广告有限公司,2603 多发性硬化症,6036 每秒,48%,42 分钟
