IP,PORT,PROTOCOL,ANONYMITY,REGION,OPERATOR,DELAY,SPEED,RUN_STATE,LAST_CHECK
47.104.28.135,8888,HTTP,匿名的,"中国
                    青岛",杭州阿里巴巴广告有限公司,2608 多发性硬化症,9097 每秒,69%,25 分钟
39.102.211.162,80,HTTP,匿名的,"中国
                    北京",杭州阿里巴巴广告有限公司,2431 多发性硬化症,1815 每秒,43%,42 分钟
39.102.209.163,80,HTTP,匿名的,"中国
                    北京",杭州阿里巴巴广告有限公司,2513 多发性硬化症,5565 每秒,100%,53 分钟
39.102.210.222,8081,HTTP,匿名的,"中国
                    北京",杭州阿里巴巴广告有限公司,2518 多发性硬化症,378 每秒,100%,51 分钟
36.147.78.166,443,HTTP,匿名的,"中国
                    广州",中国移动,2677 多发性硬化症,2296 每秒,70%,0 分钟
8.138.82.6,8008,HTTP,匿名的,"中国
                    广州",杭州阿里巴巴广告有限公司,2488 多发性硬化症,6876 每秒,65%,31 分钟
8.134.149.133,80,HTTP,匿名的,"中国
                    广州",杭州阿里巴巴广告有限公司,2491 多发性硬化症,8444 每秒,100%,41 分钟
47.121.133.212,8080,HTTP,匿名的,"中国
                    深圳",杭州阿里巴巴广告有限公司,2503 多发性硬化症,4208 每秒,100%,43 分钟
101.200.158.109,9080,HTTP,匿名的,"中国
                    北京",杭州阿里巴巴广告有限公司,2485 多发性硬化症,4619 每秒,90%,35 分钟
39.102.214.208,9999,HTTP,匿名的,"中国
                    北京",杭州阿里巴巴广告有限公司,2458 多发性硬化症,1536 每秒,64%,42 分钟
120.25.189.254,9098,HTTP,匿名的,"中国
                    深圳",杭州阿里巴巴广告有限公司,2513 多发性硬化症,4640 每秒,68%,38 分钟
139.196.191.172,443,HTTP,透明的,"中国
                    上海",杭州阿里巴巴广告有限公司,2442 多发性硬化症,5907 每秒,51%,23 分钟
8.137.38.48,4000,HTTP,匿名的,"中国
                    成都",杭州阿里巴巴广告有限公司,2544 多发性硬化症,7091 每秒,23%,32 分钟
120.26.52.35,8081,HTTP,匿名的,"中国
                    杭州",杭州阿里巴巴广告有限公司,2465 多发性硬化症,5192 每秒,94%,24 分钟
120.25.189.254,8800,HTTP,匿名的,"中国
                    深圳",杭州阿里巴巴广告有限公司,2487 多发性硬化症,1142 每秒,60%,32 分钟
39.102.211.64,9080,HTTP,匿名的,"中国
                    北京",杭州阿里巴巴广告有限公司,2492 多发性硬化症,3641 每秒,100%,48 分钟
222.59.173.105,45152,HTTP,匿名的,"中国
                    秦南",中国移动通信集团公司,2577 多发性硬化症,5372 每秒,73%,4 分钟
222.59.173.105,45023,HTTP,匿名的,"中国
                    秦南",中国移动通信集团公司,2391 多发性硬化症,7804 每秒,95%,4 分钟
114.215.127.92,8081,HTTP,匿名的,"中国
                    青岛",中国互联网络信息中心,2504 多发性硬化症,4281 每秒,46%,30分钟
47.104.198.111,9080,HTTP,匿名的,"中国
                    青岛",杭州阿里巴巴广告有限公司,2485 多发性硬化症,9930 每秒,57%,36 分钟
